timestamp,MpKrakBujaka-PM10-1g,PM10_Forecast_3h,PM10_Forecast_8h,PM10_Forecast_12h
2017-01-08 17:00:00,162.405,283.033,201.25,195.361
2017-01-08 18:00:00,210.18400000000003,242.412,195.581,192.561
2017-01-08 19:00:00,265.596,288.995,182.961,204.271
2017-01-08 20:00:00,283.033,317.29,184.08,228.262
2017-01-08 21:00:00,242.412,284.938,195.361,226.943
2017-01-08 22:00:00,288.995,201.25,192.561,207.822
2017-01-08 23:00:00,317.29,195.581,204.271,176.18
2017-01-09 00:00:00,284.938,182.961,228.262,143.812
2017-01-09 01:00:00,201.25,184.08,226.943,99.5524
2017-01-09 02:00:00,195.581,195.361,207.822,88.0217
2017-01-09 03:00:00,182.961,192.561,176.18,80.35600000000002
2017-01-09 04:00:00,184.08,204.271,143.812,90.3627
2017-01-09 05:00:00,195.361,228.262,99.5524,102.694
2017-01-09 06:00:00,192.561,226.943,88.0217,157.173
2017-01-09 07:00:00,204.271,207.822,80.35600000000002,181.622
2017-01-09 08:00:00,228.262,176.18,90.3627,167.227
2017-01-09 09:00:00,226.943,143.812,102.694,204.103
2017-01-09 10:00:00,207.822,99.5524,157.173,214.358
2017-01-09 11:00:00,176.18,88.0217,181.622,222.91
2017-01-09 12:00:00,143.812,80.35600000000002,167.227,196.368
2017-01-09 13:00:00,99.5524,90.3627,204.103,183.009
2017-01-09 14:00:00,88.0217,102.694,214.358,160.155
2017-01-09 15:00:00,80.35600000000002,157.173,222.91,143.24200000000005
2017-01-09 16:00:00,90.3627,181.622,196.368,139.394
2017-01-09 17:00:00,102.694,167.227,183.009,94.7357
2017-01-09 18:00:00,157.173,204.103,160.155,101.816
2017-01-09 19:00:00,181.622,214.358,143.24200000000005,80.7817
2017-01-09 20:00:00,167.227,222.91,139.394,98.0233
2017-01-09 21:00:00,204.103,196.368,94.7357,131.029
2017-01-09 22:00:00,214.358,183.009,101.816,123.755
2017-01-09 23:00:00,222.91,160.155,80.7817,125.076
2017-01-10 00:00:00,196.368,143.24200000000005,98.0233,131.196
2017-01-10 01:00:00,183.009,139.394,131.029,107.814
2017-01-10 02:00:00,160.155,94.7357,123.755,133.506
2017-01-10 03:00:00,143.24200000000005,101.816,125.076,137.392
2017-01-10 04:00:00,139.394,80.7817,131.196,106.7
2017-01-10 05:00:00,94.7357,98.0233,107.814,126.75
2017-01-10 06:00:00,101.816,131.029,133.506,146.8
2017-01-10 07:00:00,80.7817,123.755,137.392,222.703
2017-01-10 08:00:00,98.0233,125.076,106.7,266.282
2017-01-10 09:00:00,131.029,131.196,126.75,345.756
2017-01-10 10:00:00,123.755,107.814,146.8,356.927
2017-01-10 11:00:00,125.076,133.506,222.703,350.56699999999995
2017-01-10 12:00:00,131.196,137.392,266.282,390.513
2017-01-10 13:00:00,107.814,106.7,345.756,379.153
2017-01-10 14:00:00,133.506,126.75,356.927,322.594
2017-01-10 15:00:00,137.392,146.8,350.56699999999995,285.557
2017-01-10 16:00:00,106.7,222.703,390.513,291.047
2017-01-10 17:00:00,126.75,266.282,379.153,265.154
2017-01-10 18:00:00,146.8,345.756,322.594,274.793
2017-01-10 19:00:00,222.703,356.927,285.557,194.825
2017-01-10 20:00:00,266.282,350.56699999999995,291.047,266.053
2017-01-10 21:00:00,345.756,390.513,265.154,300.283
2017-01-10 22:00:00,356.927,379.153,274.793,306.454
2017-01-10 23:00:00,350.56699999999995,322.594,194.825,273.277
2017-01-11 00:00:00,390.513,285.557,266.053,282.801
2017-01-11 01:00:00,379.153,291.047,300.283,241.069
2017-01-11 02:00:00,322.594,265.154,306.454,215.904
2017-01-11 03:00:00,285.557,274.793,273.277,262.934
2017-01-11 04:00:00,291.047,194.825,282.801,305.495
2017-01-11 05:00:00,265.154,266.053,241.069,284.81
2017-01-11 06:00:00,274.793,300.283,215.904,260.099
