timestamp,MpKrakAlKras-PM10-1g,PM10_Forecast_3h,PM10_Forecast_8h,PM10_Forecast_12h
2017-01-08 15:00:00,174.96099999999996,160.61,230.616,217.697
2017-01-08 16:00:00,170.65599999999995,149.109,215.135,216.133
2017-01-08 17:00:00,166.35,136.554,223.073,210.566
2017-01-08 18:00:00,160.61,140.891,217.586,239.021
2017-01-08 19:00:00,149.109,186.158,217.697,257.367
2017-01-08 20:00:00,136.554,230.616,216.133,257.305
2017-01-08 21:00:00,140.891,215.135,210.566,261.336
2017-01-08 22:00:00,186.158,223.073,239.021,268.72900000000004
2017-01-08 23:00:00,230.616,217.586,257.367,244.662
2017-01-09 00:00:00,215.135,217.697,257.305,249.371
2017-01-09 01:00:00,223.073,216.133,261.336,253.652
2017-01-09 02:00:00,217.586,210.566,268.72900000000004,181.704
2017-01-09 03:00:00,217.697,239.021,244.662,202.418
2017-01-09 04:00:00,216.133,257.367,249.371,180.188
2017-01-09 05:00:00,210.566,257.305,253.652,200.419
2017-01-09 06:00:00,239.021,261.336,181.704,188.43400000000003
2017-01-09 07:00:00,257.367,268.72900000000004,202.418,207.05
2017-01-09 08:00:00,257.305,244.662,180.188,219.386
2017-01-09 09:00:00,261.336,249.371,200.419,202.467
2017-01-09 10:00:00,268.72900000000004,253.652,188.43400000000003,239.254
2017-01-09 11:00:00,244.662,181.704,207.05,230.757
2017-01-09 12:00:00,249.371,202.418,219.386,213.061
2017-01-09 13:00:00,253.652,180.188,202.467,176.417
2017-01-09 14:00:00,181.704,200.419,239.254,159.803
2017-01-09 15:00:00,202.418,188.43400000000003,230.757,145.29
2017-01-09 16:00:00,180.188,207.05,213.061,147.968
2017-01-09 17:00:00,200.419,219.386,176.417,146.39700000000005
2017-01-09 18:00:00,188.43400000000003,202.467,159.803,147.08700000000005
2017-01-09 19:00:00,207.05,239.254,145.29,148.204
2017-01-09 20:00:00,219.386,230.757,147.968,132.421
2017-01-09 21:00:00,202.467,213.061,146.39700000000005,123.518
2017-01-09 22:00:00,239.254,176.417,147.08700000000005,139.423
2017-01-09 23:00:00,230.757,159.803,148.204,127.678
2017-01-10 00:00:00,213.061,145.29,132.421,134.716
2017-01-10 01:00:00,176.417,147.968,123.518,134.749
2017-01-10 02:00:00,159.803,146.39700000000005,139.423,135.905
2017-01-10 03:00:00,145.29,147.08700000000005,127.678,163.29399999999995
2017-01-10 04:00:00,147.968,148.204,134.716,153.549
2017-01-10 05:00:00,146.39700000000005,132.421,134.749,146.586
2017-01-10 06:00:00,147.08700000000005,123.518,135.905,145.511
2017-01-10 07:00:00,148.204,139.423,163.29399999999995,175.578
2017-01-10 08:00:00,132.421,127.678,153.549,191.283
2017-01-10 09:00:00,123.518,134.716,146.586,201.487
2017-01-10 10:00:00,139.423,134.749,145.511,234.08900000000003
2017-01-10 11:00:00,127.678,135.905,175.578,275.79200000000003
2017-01-10 12:00:00,134.716,163.29399999999995,191.283,301.71
2017-01-10 13:00:00,134.749,153.549,201.487,306.66
2017-01-10 14:00:00,135.905,146.586,234.08900000000003,321.519
2017-01-10 15:00:00,163.29399999999995,145.511,275.79200000000003,315.524
2017-01-10 16:00:00,153.549,175.578,301.71,287.13
2017-01-10 17:00:00,146.586,191.283,306.66,268.738
2017-01-10 18:00:00,145.511,201.487,321.519,267.539
2017-01-10 19:00:00,175.578,234.08900000000003,315.524,276.25
2017-01-10 20:00:00,191.283,275.79200000000003,287.13,303.768
2017-01-10 21:00:00,201.487,301.71,268.738,335.306
2017-01-10 22:00:00,234.08900000000003,306.66,267.539,341.435
2017-01-10 23:00:00,275.79200000000003,321.519,276.25,325.126
2017-01-11 00:00:00,301.71,315.524,303.768,285.5420000000001
2017-01-11 01:00:00,306.66,287.13,335.306,355.36300000000006
2017-01-11 02:00:00,321.519,268.738,341.435,324.514
2017-01-11 03:00:00,315.524,267.539,325.126,318.493
